DATE,BIRTHDAY,PLAYER_API_ID,PLAYER_NAME,AVERAGE_REACTIONS,AVERAGE_STAMINA,AVERAGE_ACCELERATION,AVERAGE_SPRINT_SPEED,AVERAGE_AGILITY
2007-02-22 00:00:00,1992-02-29 00:00:00,505942,Aaron Appindangoye,60.139343521114,63.2972239804684,65.6542182837508,66.0455737408446,63.5910980910981
2007-08-30 00:00:00,1982-05-08 00:00:00,30572,Aaron Galindo,64.3944278148745,67.9753626525443,66.830762145982,67.3407782638729,65.1140656063618
2008-02-22 00:00:00,1978-02-26 00:00:00,40005,Abdoulaye Faye,63.6356968215159,67.4841075794621,68.0611246943765,68.8973105134474,65.4108527131783
2008-08-30 00:00:00,1989-12-15 00:00:00,155782,Aaron Cresswell,64.5327640616299,66.8830517913495,66.9901614999072,67.4375348060145,65.0020052135553
2009-02-22 00:00:00,1989-12-15 00:00:00,155782,Aaron Cresswell,66.336465595635,68.1309487723553,68.5689602909973,69.1445892694756,65.8710196204567
2009-08-30 00:00:00,1989-12-15 00:00:00,155782,Aaron Cresswell,66.0495519240907,67.8933403619751,68.0992795642242,68.6065717800035,65.2292242491247
2010-02-22 00:00:00,1989-12-15 00:00:00,155782,Aaron Cresswell,66.6392192057438,67.931792685663,68.5889611846534,69.1184653354274,65.6366415804327
2010-08-30 00:00:00,1989-12-15 00:00:00,155782,Aaron Cresswell,66.0565504241282,67.724945020421,68.0036129437637,68.6784480050267,64.8136977693999
2011-02-22 00:00:00,1991-05-13 00:00:00,162549,Aaron Doran,66.6086637298091,67.7723935389134,68.215859030837,68.9577826725404,65.288362701909
2011-08-30 00:00:00,1989-12-15 00:00:00,155782,Aaron Cresswell,65.9914110429448,66.4872699386503,66.5,66.7710122699387,65.3570552147239
2012-02-22 00:00:00,1989-12-15 00:00:00,155782,Aaron Cresswell,66.4370720573851,66.7318226279752,66.8418650146723,67.21030322791,65.5836322138898
2012-08-31 00:00:00,1989-12-15 00:00:00,155782,Aaron Cresswell,66.1642273917732,66.680172546603,66.7592050531505,66.9678015714066,65.2535818826067
2013-02-15 00:00:00,1989-12-15 00:00:00,155782,Aaron Cresswell,66.2838537580417,66.7498823160207,66.8088812176369,66.9847795386788,65.4112662796171
2013-02-22 00:00:00,1989-12-15 00:00:00,155782,Aaron Cresswell,67.7800941492939,67.4727639542703,68.4559515803632,68.6227303295225,66.7417619367855
2013-03-01 00:00:00,1987-10-28 00:00:00,101042,Aaron Meijers,65.9935732647815,68.4035989717224,68.2686375321337,68.5437017994859,66.3290488431877
2013-03-04 00:00:00,1984-03-03 00:00:00,33762,Angel Javier Arizmendi,61.5666666666667,64.6333333333333,60.7,61.8333333333333,59.3333333333333
